MarkettypeID	TradingDate	RiskPremium1	RiskPremium2	SMB1	SMB2	HML1	HML2
P9709	2018-03-12	.006969	.007969	.009772	.009354	-.005595	-.007306
P9710	2018-03-12	.006969	.007969	.009722	.009330	-.005640	-.007215
P9705	2018-03-09	.032969	.032969	-.003748	-.003580	-.002289	-.002697
P9706	2018-03-09	.006969	.007969	.005446	.005474	-.007403	-.007234
P9707	2018-03-09	.011969	.010969	-.005629	-.003244	.013133	.012271
P9709	2018-03-09	.007969	.009969	.007689	.007712	-.009826	-.010580
P9710	2018-03-09	.007969	.009969	.007364	.007456	-.009244	-.010016
P9705	2018-03-08	.009969	.010969	.005510	.007444	.002193	.002982
P9706	2018-03-08	.005969	.005969	.000468	.000170	-.002660	-.002097
P9707	2018-03-08	.002969	.002969	.003818	.002744	.003026	.002961
P9709	2018-03-08	.005969	.006969	.001311	.001473	-.003162	-.002646
P9710	2018-03-08	.005969	.006969	.001383	.001460	-.002947	-.002642
P9705	2018-03-07	-.007031	-.005031	.000237	-.000085	-.001080	-.002015
P9706	2018-03-07	-.005031	-.006031	.001404	.001816	.000619	.001326
P9707	2018-03-07	-.003031	-.003031	.005626	.003916	-.010328	-.010950
P9709	2018-03-07	-.005031	-.006031	.000609	.000959	.001422	.001973
P9710	2018-03-07	-.005031	-.006031	.000901	.001102	.001448	.001823
P9705	2018-03-06	.003969	.005969	.004650	.004674	-.002449	-.002753
P9706	2018-03-06	.010969	.011969	-.000442	-.001128	.000241	-.000527
P9707	2018-03-06	.012969	.012969	-.005792	-.006051	.003978	.003690
P9709	2018-03-06	.010969	.010969	-.000696	-.001211	.001086	.000532
P9710	2018-03-06	.010969	.010969	-.000850	-.001295	.000854	.000455
P9705	2018-03-05	.012969	.015969	.003165	.005088	-.002486	-.002344
P9706	2018-03-05	-.000031	.000969	.004336	.005625	-.001109	-.000048
P9707	2018-03-05	-.009031	-.009031	.001226	.001111	.000109	-.000437
P9709	2018-03-05	.000969	.001969	.004924	.006426	-.002587	-.001927
P9710	2018-03-05	-.000031	.001969	.004770	.006299	-.002416	-.001818
P9705	2018-03-02	-.008031	-.009031	.001635	.000853	-.004532	-.004351
P9706	2018-03-02	-.007031	-.006031	.005250	.004687	-.000597	-.000575
P9707	2018-03-02	-.004031	-.003031	.005946	.005247	-.007887	-.008784
P9709	2018-03-02	-.007031	-.007031	.003672	.003055	-.000395	-.000295
P9710	2018-03-02	-.007031	-.006031	.003641	.003078	-.000886	-.000600
P9705	2018-03-01	.022969	.025969	.003927	.004349	-.001445	-.002304
P9706	2018-03-01	.005969	.005969	.005918	.005697	-.010024	-.010030
P9707	2018-03-01	.004969	.004969	.002299	.001490	-.005127	-.005220
P9709	2018-03-01	.006969	.007969	.007729	.007582	-.011028	-.011554
P9710	2018-03-01	.006969	.007969	.007634	.007485	-.010926	-.011459
P9705	2018-02-28	.004969	.002969	-.003959	-.005310	.005892	.006709
P9706	2018-02-28	-.006031	.017969	.007849	.006532	-.005044	-.005666
P9707	2018-02-28	-.005031	-.005031	.002257	.001921	-.002206	-.001226
P9709	2018-02-28	-.005031	.016969	.008541	.006944	-.005386	-.006097
P9710	2018-02-28	-.005031	.016969	.008438	.006904	-.005312	-.005906
P9705	2018-02-27	.010969	.010969	-.003312	-.002814	.003468	.004472
P9706	2018-02-27	-.014031	-.012031	.011229	.011326	-.010272	-.009123
P9707	2018-02-27	-.005031	-.004031	.001945	.001883	-.002849	-.005308
P9709	2018-02-27	-.013031	-.010031	.012425	.012416	-.011712	-.011009
P9710	2018-02-27	-.012031	-.010031	.011967	.012055	-.011883	-.011262
P9705	2018-02-26	.033969	.036969	-.001348	-.000727	-.005964	-.005831
P9706	2018-02-26	.011969	.013969	.004917	.005339	-.007801	-.006904
P9707	2018-02-26	.010969	.009969	.003573	.003836	.005167	.004201
P9709	2018-02-26	.013969	.015969	.005850	.006327	-.009448	-.009250
P9710	2018-02-26	.012969	.015969	.005818	.006401	-.009416	-.009136
P9705	2018-02-23	-.002031	-.001031	.003252	.002778	-.003035	-.005851
P9706	2018-02-23	.005969	.004969	-.000661	-.001344	.003787	.002274
P9707	2018-02-23	-.005031	-.004031	-.000306	-.000655	-.016045	-.015813
P9709	2018-02-23	.004969	.004969	-.001276	-.002031	.003915	.002523
P9710	2018-02-23	.004969	.004969	-.001048	-.001843	.003794	.002510
P9705	2018-02-22	.019969	.019969	-.003150	-.002361	-.005721	-.007462
P9706	2018-02-22	.022969	.022969	-.006591	-.006201	-.000946	-.001346
P9707	2018-02-22	.008969	.009969	.000258	.001647	-.001541	-.000906
P9709	2018-02-22	.022969	.021969	-.006493	-.005880	-.001596	-.002231
P9710	2018-02-22	.022969	.021969	-.006467	-.005763	-.001710	-.002144
P9705	2018-02-14	-.001031	-.001031	.001117	-.000585	-.002759	-.002066
P9706	2018-02-14	.005969	.004969	.000448	-.000076	-.003057	-.003325
P9707	2018-02-14	.003969	.003969	.003010	.002869	-.004437	-.002245
P9709	2018-02-14	.005969	.004969	-.000847	-.001539	-.001562	-.001732
P9710	2018-02-14	.005969	.004969	-.000751	-.001476	-.001583	-.001684
P9705	2018-02-13	-.004031	-.004031	.000116	-.001014	.001222	.002950
P9706	2018-02-13	.010969	.009969	-.005511	-.005001	.003537	.003942
P9707	2018-02-13	.010969	.009969	-.006560	-.005975	.002678	.002861
P9709	2018-02-13	.009969	.008969	-.006331	-.005932	.004919	.005624
P9710	2018-02-13	.009969	.008969	-.006515	-.006017	.004665	.005574
P9705	2018-02-12	.033969	.034969	.000240	.000169	-.003012	-.002338
P9706	2018-02-12	.009969	.012969	.010434	.010234	-.016236	-.014274
P9707	2018-02-12	.022969	.022969	-.000164	.001574	.009738	.008066
P9709	2018-02-12	.011969	.013969	.011024	.010950	-.016893	-.015355
P9710	2018-02-12	.011969	.014969	.010499	.010662	-.016472	-.014882
P9705	2018-02-09	-.031031	-.028031	.001403	.000699	.007604	.009048
P9706	2018-02-09	-.041031	-.040031	.007862	.007591	-.007388	-.007832
P9707	2018-02-09	-.038031	-.037031	.001198	-.000101	-.007238	-.008383
P9709	2018-02-09	-.040031	-.040031	.008748	.008222	-.006527	-.006792
P9710	2018-02-09	-.040031	-.039031	.008131	.007831	-.006979	-.007121
P9705	2018-02-08	.018969	.018969	.004749	.004005	-.001505	.000074
P9706	2018-02-08	-.013031	-.010031	.017726	.015814	-.023340	-.022311
P9707	2018-02-08	.003969	.003969	-.003998	-.002526	-.002713	-.004711
P9709	2018-02-08	-.011031	-.008031	.019310	.017475	-.023688	-.022630
P9710	2018-02-08	-.011031	-.008031	.018318	.016874	-.023778	-.022579
P9705	2018-02-07	.011969	.011969	-.001705	-.003082	.008663	.007789
P9706	2018-02-07	-.022031	-.019031	.020482	.019090	-.008535	-.007573
P9707	2018-02-07	.000969	.000969	-.004485	-.004696	.008100	.006378
P9709	2018-02-07	-.021031	-.017031	.021435	.019767	-.010276	-.009798
P9710	2018-02-07	-.020031	-.017031	.020582	.019095	-.009955	-.009340
P9705	2018-02-06	-.060031	-.060031	-.010575	-.012123	.011172	.010882
P9706	2018-02-06	-.035031	-.037031	-.019510	-.018813	.011954	.012006
P9707	2018-02-06	-.035031	-.035031	-.003538	-.003541	.004310	.005089
P9709	2018-02-06	-.037031	-.039031	-.019526	-.018720	.012695	.012700
P9710	2018-02-06	-.037031	-.039031	-.019102	-.018453	.012809	.012670
P9705	2018-02-05	-.011031	-.016031	-.005113	-.003966	.002428	.002165
P9706	2018-02-05	.006969	.004969	-.005237	-.005086	.019237	.018693
P9707	2018-02-05	-.003031	-.003031	-.000802	-.001506	.012909	.014367
P9709	2018-02-05	.005969	.003969	-.006210	-.005936	.018610	.018378
P9710	2018-02-05	.005969	.003969	-.006206	-.005992	.018401	.018274
P9705	2018-02-02	-.005031	-.007031	-.007245	-.008956	.005143	.005211
P9706	2018-02-02	.003969	.003969	-.014559	-.014257	.010899	.010604
P9707	2018-02-02	.006969	.007969	-.005180	-.005926	.012377	.013196
P9709	2018-02-02	.003969	.002969	-.013942	-.013524	.009775	.009295
P9710	2018-02-02	.003969	.002969	-.013748	-.013377	.009846	.009442
P9705	2018-02-01	-.033031	-.033031	-.012410	-.010315	.004466	.005881
P9706	2018-02-01	-.011031	-.014031	-.032691	-.029866	.021215	.020309
P9707	2018-02-01	-.021031	-.021031	-.006664	-.006008	.017691	.018747
P9709	2018-02-01	-.013031	-.016031	-.030941	-.027820	.020110	.019244
P9710	2018-02-01	-.013031	-.016031	-.030642	-.027769	.020215	.019084
P9705	2018-01-31	-.032031	-.034031	-.009944	-.010646	.004213	.008328
P9706	2018-01-31	-.002031	-.004031	-.022520	-.019980	.011329	.012675
P9707	2018-01-31	-.004031	-.006031	-.012885	-.012371	.000744	.003215
P9709	2018-01-31	-.003031	-.006031	-.023283	-.020749	.012631	.014418
P9710	2018-01-31	-.003031	-.006031	-.022691	-.020420	.012870	.014420
P9705	2018-01-30	-.008031	-.008031	.007101	.006578	.001702	.001997
P9706	2018-01-30	-.010031	-.009031	.006317	.005833	-.007354	-.006827
P9707	2018-01-30	-.003031	-.002031	-.001196	-.001828	-.000172	-.000071
P9709	2018-01-30	-.010031	-.009031	.006163	.005781	-.006138	-.005581
P9710	2018-01-30	-.010031	-.009031	.005921	.005593	-.006204	-.005531
P9705	2018-01-29	-.014031	-.015031	-.004507	-.004222	.004011	.003323
P9706	2018-01-29	-.012031	-.012031	.003729	.002698	.010146	.008769
P9707	2018-01-29	-.017031	-.016031	.007503	.006194	-.000199	.000654
P9709	2018-01-29	-.012031	-.012031	.002123	.001155	.009179	.008042
P9710	2018-01-29	-.013031	-.012031	.002130	.001147	.008837	.007804
P9705	2018-01-26	-.002031	-.003031	-.003259	-.003142	.000681	.000920
P9706	2018-01-26	.002969	.001969	-.004911	-.005042	.001877	.001553
P9707	2018-01-26	-.000031	-.000031	.000529	.001780	-.001658	-.000815
P9709	2018-01-26	.002969	.001969	-.005120	-.005215	.001935	.001637
P9710	2018-01-26	.002969	.001969	-.004915	-.005035	.002006	.001607
P9705	2018-01-25	-.004031	-.003031	-.003549	-.004070	.003966	.003709
P9706	2018-01-25	-.004031	-.004031	.004295	.002919	-.000322	-.001118
P9707	2018-01-25	-.004031	-.004031	.002733	.001681	-.003066	-.002158
P9709	2018-01-25	-.004031	-.004031	.003131	.001700	.000712	.000167
P9710	2018-01-25	-.004031	-.004031	.002983	.001548	.000560	.000053
P9705	2018-01-24	.019969	.019969	-.006695	-.005646	.004657	.005354
P9706	2018-01-24	.001969	.001969	.000355	.000065	.002227	.001894
P9707	2018-01-24	.004969	.003969	-.004451	-.002693	-.000991	-.000613
P9709	2018-01-24	.002969	.003969	.002210	.002166	-.000644	-.001717
P9710	2018-01-24	.002969	.003969	.002193	.002179	-.000422	-.001526
P9705	2018-01-23	-.000031	-.000031	.002100	.002700	.002126	.001559
P9706	2018-01-23	.014969	.013969	-.008300	-.006861	.011683	.011050
P9707	2018-01-23	-.004031	-.004031	-.006927	-.008244	.001340	.002635
P9709	2018-01-23	.013969	.012969	-.008481	-.007009	.012081	.011633
P9710	2018-01-23	.013969	.012969	-.008638	-.007143	.011887	.011557
P9705	2018-01-22	.016969	.011969	-.010031	-.009309	.000324	-.001688
P9706	2018-01-22	.006969	.005969	-.004640	-.006240	-.007854	-.010245
P9707	2018-01-22	.002969	.001969	-.004670	-.006350	.001382	.001383
P9709	2018-01-22	.006969	.006969	-.003614	-.005042	-.009119	-.011603
P9710	2018-01-22	.006969	.006969	-.003754	-.005117	-.008749	-.011181
P9705	2018-01-19	-.003031	-.001031	.004123	.006426	.000615	-.000391
P9706	2018-01-19	.002969	.002969	-.002975	-.001486	.006178	.008665
P9707	2018-01-19	.003969	.002969	-.004005	-.002831	.007887	.007282
P9709	2018-01-19	.002969	.002969	-.002473	-.000885	.006056	.008157
P9710	2018-01-19	.002969	.002969	-.002440	-.000960	.006185	.007965
P9705	2018-01-18	-.002031	-.003031	.002685	.002063	.002912	.003769
P9706	2018-01-18	.010969	.009969	-.004796	-.004180	.009638	.008482
P9707	2018-01-18	.001969	.002969	.000985	.000817	-.003771	-.003654
P9709	2018-01-18	.009969	.008969	-.005084	-.004464	.009980	.008976
P9710	2018-01-18	.009969	.008969	-.005009	-.004354	.009672	.008846
P9705	2018-01-17	.006969	.006969	-.001804	-.000792	.001155	.001950
P9706	2018-01-17	-.000031	.000969	.000805	.002794	.012720	.015473
P9707	2018-01-17	-.001031	-.001031	-.005128	-.005818	.002843	.002870
P9709	2018-01-17	-.000031	.000969	.000935	.002872	.011146	.013200
P9710	2018-01-17	-.000031	.000969	.000809	.002639	.011139	.013040
P9705	2018-01-16	.000969	.002969	.004994	.007307	-.001879	-.004394
P9706	2018-01-16	.007969	.008969	-.000795	-.000761	.005788	.006754
P9707	2018-01-16	.010969	.010969	-.008985	-.007563	-.001897	-.001476
P9709	2018-01-16	.006969	.007969	-.000919	-.000611	.005588	.006601
P9710	2018-01-16	.007969	.007969	-.000972	-.000675	.005601	.006553
P9705	2018-01-15	-.030031	-.031031	-.003184	-.003854	-.001531	-.001006
P9706	2018-01-15	-.004031	-.006031	-.018562	-.017410	.013283	.012254
P9707	2018-01-15	-.005031	-.006031	-.010755	-.010436	.012653	.011950
P9709	2018-01-15	-.005031	-.008031	-.018884	-.017768	.013529	.012800
P9710	2018-01-15	-.005031	-.008031	-.018963	-.017761	.013172	.012749
P9705	2018-01-12	-.010031	-.010031	.001176	.001947	.001388	.000670
P9706	2018-01-12	.001969	.000969	-.005122	-.005159	-.000147	-.000783
P9707	2018-01-12	-.001031	-.000031	-.005637	-.005342	-.005023	-.005318
P9709	2018-01-12	.001969	-.000031	-.005911	-.005940	.001166	.000993
P9710	2018-01-12	.001969	-.000031	-.005687	-.005781	.001484	.001213
P9705	2018-01-11	.008969	.010969	.002379	.003199	.001955	.000740
P9706	2018-01-11	.001969	.001969	.003631	.003657	-.001844	-.001832
P9707	2018-01-11	-.000031	-.000031	.000651	.001029	-.002540	-.001894
P9709	2018-01-11	.001969	.002969	.004610	.004893	-.002577	-.003041
P9710	2018-01-11	.001969	.002969	.004487	.004846	-.002600	-.002976
P9705	2018-01-10	-.006031	-.006031	-.002347	-.003559	-.000499	.000558
P9706	2018-01-10	.002969	.001969	-.009696	-.008667	.005890	.005505
P9707	2018-01-10	.000969	-.000031	-.006049	-.006505	.005808	.004373
P9709	2018-01-10	.002969	.000969	-.008951	-.007985	.005596	.005198
P9710	2018-01-10	.002969	.000969	-.008912	-.007977	.005493	.005009
P9705	2018-01-09	-.001031	.000969	.000113	.000417	.004426	.005051
P9706	2018-01-09	.001969	.001969	-.004123	-.003139	-.004805	-.003485
P9707	2018-01-09	.007969	.005969	-.003977	-.003327	.012752	.011139
P9709	2018-01-09	.001969	.001969	-.003971	-.002941	-.003859	-.002346
P9710	2018-01-09	.001969	.001969	-.003911	-.002945	-.003573	-.002280
P9705	2018-01-08	-.001031	-.002031	-.003633	-.003750	-.005268	-.005404
P9706	2018-01-08	.003969	.003969	-.002905	-.003068	.003894	.003151
P9707	2018-01-08	-.003031	-.003031	.000685	.000736	.000202	.002391
